TimeStamp,TagName,Average,Status,PercentageOfGoodValues
2023-12-10,BPK_FC1_GROSS,334561.731,OK,0.9901938438415527
2023-12-10,BPK_FC1_NET,33568759.408,OK,0.9888394474983215
2023-12-10,BPK_FC1_MASS,26048102.737,OK,0.9859310686588287
2023-12-10,BPK_FC1_ENERGY,1260412.7,OK,0.9860664904117584
2023-12-10,BPK_FC1_P,9939.31,OK,0.9928753674030304
2023-12-10,BPK_FC1_T,50.72,OK,0.9903044104576111
2023-12-10,BPK_FC1_GC_C1,89.49081,OK,0.9841278493404388
2023-12-10,BPK_FC1_GC_C2,4.23725,OK,0.9902074337005615
2023-12-10,BPK_FC1_GC_C3,1.53119,OK,0.9912653565406799
2023-12-10,BPK_FC1_GC_IC4,0.39886,OK,0.9100169241428375
2023-12-10,BPK_FC1_GC_NC4,0.40945,OK,0.9866862595081329
2023-12-10,BPK_FC1_GC_IC5,0.13852,OK,0.9914913475513458
2023-12-10,BPK_FC1_GC_NC5,0.102,OK,0.9924276471138
2023-12-10,BPK_FC1_GC_C6,0.10824,OK,0.9922811090946198
2023-12-10,BPK_FC1_GC_N2,1.98495,OK,0.9907996952533722
2023-12-10,BPK_FC1_GC_CO2,1.59872,OK,0.9938938021659851
2023-12-10,BPK_FC1_GC_HV,39.614,OK,0.9915707409381866
2023-12-10,BPK_FC1_DENS_AC,77.865,OK,0.989841103553772
2023-12-10,BPK_FC1_DENS_SC,0.77596,OK,0.9942704141139984
